"SEQNO","ALCNO","NEWID","UCC","PUBFLAG"
66,0,2000905,"520110","2"
67,0,2000905,"520110","2"
87,0,2025924,"520110","2"
43,0,2040884,"520110","2"
40,0,2178533,"520110","2"
44,0,2173243,"520110","2"
51,0,2221962,"520110","2"
54,0,2204812,"520110","2"
51,0,2203582,"520110","2"
68,0,2016585,"520110","2"
95,1,1997765,"520110","2"
95,2,1997765,"520110","2"
76,1,1996645,"520110","2"
77,0,1996645,"520110","2"
47,1,2034504,"520110","2"
47,2,2034504,"520110","2"
57,0,2191183,"520110","2"
57,0,2187583,"520110","2"
72,1,2174933,"520110","2"
72,2,2174933,"520110","2"
70,0,2169433,"520110","2"
49,1,2182023,"520110","2"
49,2,2182023,"520110","2"
32,1,2207935,"520110","2"
32,2,2207935,"520110","2"
82,1,2220382,"520110","2"
82,2,2220382,"520110","2"
41,0,2192305,"520110","2"
46,0,2000335,"520110","2"
43,0,2008335,"520110","2"
33,0,2001215,"520110","2"
32,0,2000215,"520110","2"
44,0,2003895,"520110","2"
