"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","CONTCODE","CONT_ODE","CONTMO","CONTMO_","CONTEXPX","CONT_XPX"
"20101",2000025,14,0,"1","170","D","12","D",72,"D"
"20101",2000025,15,0,"1","170","D","12","D",1000,"D"
"20101",2000025,16,0,"2","170","D","10","D",28,"D"
"20101",2000025,17,0,"2","170","D","10","D",88,"D"
"20101",2000025,18,0,"2","160","D","10","D",40,"D"
"20101",2000035,19,0,"1","170","D","12","D",150,"D"
"20101",2000035,20,0,"1","140","D","11","D",10,"D"
"20101",2000035,21,0,"1","140","D","12","D",10,"D"
"20101",2000045,13,0,"1","150","D","13","D",960,"D"
"20101",2000045,14,0,"1","150","D","12","D",7000,"D"
"20101",2000045,15,0,"1","160","D","01","D",603,"D"
"20101",2000085,13,0,"1","170","D","12","D",500,"D"
"20101",2000095,13,0,"1","150","D","13","D",50,"D"
"20101",2000115,17,0,"2","160","D","12","D",20,"D"
"20101",2000165,19,0,"1","150","D","13","D",60,"D"
"20101",2000195,13,0,"1","160","D","13","D",20,"D"
"20101",2000215,14,0,"2","160","D","12","D",6,"D"
"20101",2000255,24,0,"1","170","D","12","D",30,"D"
"20101",2000255,25,0,"1","150","D","12","D",325,"D"
"20101",2000255,26,0,"1","150","D","01","D",150,"D"
"20101",2000255,27,0,"1","150","D","02","D",150,"D"
"20101",2000255,28,0,"1","160","D","02","D",350,"D"
"20101",2000255,29,0,"1","160","D","02","D",25,"D"
"20101",2000255,30,0,"2","170","D","12","D",140,"D"
"20101",2000255,31,0,"2","160","D","12","D",250,"D"
"20101",2000265,16,0,"1","160","D","13","D",60,"D"
